estado,votos_eleitorais,ld_landon,ld_landon_rep32,ld_landon_dem32,ld_landon_soc32,ld_landon_out32,ld_landon_naovotou32,ld_landon_ninf32,ld_roosevelt,ld_roos_rep32,ld_roos_dem32,ld_roos_soc32,ld_roos_out32,ld_roos_naovotou32,ld_roos_ninf32,ld_total36,real_roosevelt36,real_landon36,real_total36,ld_hoover32,ld_roosevelt32,real_roosevelt32,real_hoover32,real_total32,ld_share_rep36,real_share_rep36,ld_share_rep32,real_share_rep32,taxa_resposta36
Alabama,11.0,3060.0,1218.0,1298.0,3.0,3.0,412.0,126.0,10082.0,371.0,8530.0,50.0,1.0,736.0,394.0,13273.0,238136.0,35358.0,275244.0,4272,20161,207910,34675,245354,23.284127225688632,12.92825436755468,17.484549584578236,14.293958818558444,4.822266788740173
Arizona,3.0,2337.0,1431.0,647.0,18.0,0.0,129.0,112.0,1975.0,248.0,1555.0,33.0,0.0,70.0,69.0,4476.0,86722.0,33433.0,124163.0,2574,4910,79264,36104,118251,54.19758812615956,27.82489284673963,34.393372528059864,31.29463976145898,3.604938669329832
Arkansas,9.0,2724.0,1338.0,953.0,7.0,9.0,274.0,143.0,7608.0,228.0,6655.0,16.0,8.0,373.0,328.0,10540.0,146765.0,32039.0,179423.0,3712,16225,189602,28467,220562,26.364692218350754,17.91850294176864,18.618648743542156,13.054125070505208,5.874386226960869
California,22.0,89516.0,65360.0,16200.0,315.0,53.0,3519.0,4069.0,77245.0,15165.0,53520.0,1816.0,63.0,3578.0,3103.0,173935.0,1766836.0,836431.0,2638882.0,81834,148832,1324157,847902,2267966,53.67921756285943,32.130050432783115,35.47727016552071,39.03678491238038,6.591238259232508
Colorado,6.0,15949.0,11872.0,2714.0,131.0,12.0,637.0,583.0,10025.0,1747.0,7256.0,284.0,13.0,439.0,286.0,26786.0,295021.0,181267.0,488684.0,11950,14304,250877,189617,457696,61.403711403711405,38.058275665143775,45.51687361925802,43.04644331137314,5.481251688207513
Connecticut,8.0,28809.0,22939.0,3376.0,111.0,7.0,1230.0,1146.0,13413.0,2584.0,9113.0,408.0,6.0,788.0,514.0,44151.0,382129.0,278685.0,690723.0,26469,16884,281632,288420,594183,68.2322012221117,42.17298664979858,61.05459829769566,50.59538428073228,6.391997949974157
Delaware,3.0,2918.0,2343.0,328.0,9.0,0.0,134.0,104.0,2048.0,503.0,1345.0,34.0,0.0,96.0,70.0,5028.0,69702.0,57236.0,127603.0,2384,2546,54319,57073,112901,58.759565042287555,45.089728844002586,48.35699797160243,51.236174949727086,3.940346230104308
Florida,7.0,6087.0,3121.0,2051.0,13.0,5.0,594.0,303.0,8620.0,635.0,6924.0,41.0,0.0,614.0,406.0,15021.0,249117.0,78248.0,327365.0,9302,23606,206307,69170,276252,41.38845447745971,23.90237197012509,28.26668287346542,25.109174268632227,4.588456310234753
Georgia,12.0,3948.0,1239.0,1817.0,5.0,11.0,708.0,168.0,12915.0,379.0,10377.0,42.0,9.0,1569.0,539.0,16999.0,255364.0,36942.0,293175.0,4823,31849,234118,19863,255590,23.41220423412204,12.63812579967568,13.151723385689355,7.820663750438025,5.798243370000853
Idaho,4.0,3653.0,2672.0,698.0,9.0,8.0,103.0,163.0,2611.0,398.0,1989.0,30.0,8.0,89.0,97.0,6546.0,125683.0,66256.0,199617.0,3282,5159,109479,71417,186625,58.317369093231164,34.519300402732114,38.88164909370928,39.47959048292942,3.279279820856941
Illinois,29.0,123297.0,85112.0,25885.0,573.0,69.0,6506.0,5152.0,79035.0,14793.0,54612.0,1542.0,57.0,4790.0,3241.0,210734.0,2282999.0,1570393.0,3956522.0,76414,105920,1882304,1432756,3407926,60.937963347369674,40.753523129751656,41.908804721006504,43.21960990147991,5.326243604863059
Indiana,14.0,42805.0,31913.0,7644.0,134.0,49.0,1290.0,1775.0,26663.0,4513.0,20247.0,302.0,22.0,719.0,860.0,72101.0,934974.0,691570.0,1650897.0,40227,53465,862054,677184,1576927,61.61829907295445,42.51775543729527,42.935362677709946,43.99475584672416,4.367383307377747
Iowa,11.0,31871.0,22823.0,6164.0,135.0,26.0,1272.0,1451.0,18614.0,3190.0,13611.0,258.0,14.0,829.0,712.0,53663.0,621756.0,487977.0,1142733.0,23372,32956,598019,414433,1036687,63.12964246805982,43.97246905336689,41.49268569805425,40.933594876596615,4.696022605455517
Kansas,9.0,35408.0,25315.0,6489.0,147.0,15.0,1466.0,1976.0,20254.0,4182.0,14121.0,257.0,11.0,846.0,837.0,56872.0,464520.0,397727.0,865014.0,23529,29067,424204,349498,791978,63.6125184147174,46.12680589204717,44.73534109057723,45.172172231686105,6.574691276672978
Kentucky,11.0,13365.0,8957.0,2939.0,35.0,14.0,793.0,627.0,16592.0,1586.0,13594.0,95.0,6.0,703.0,608.0,30861.0,541944.0,369702.0,926203.0,13114,24826,580574,394716,983063,44.61394665687485,40.553241060674864,34.56510279388508,40.471654584790166,3.3319909350326005
Louisiana,10.0,3686.0,1366.0,1742.0,9.0,3.0,384.0,182.0,7902.0,445.0,6401.0,39.0,0.0,697.0,320.0,12585.0,292894.0,36791.0,329778.0,4004,19050,249418,18853,268804,31.808767690714536,11.159440071583482,17.36791879934068,7.027595230196332,3.8162036278951295
Maine,5.0,11742.0,8619.0,1567.0,25.0,35.0,713.0,783.0,5337.0,635.0,3820.0,41.0,1.0,289.0,551.0,17576.0,126333.0,168823.0,304240.0,11462,8264,128907,166631,298444,68.75109783945196,57.197888574177725,58.106052925073506,56.38225879582321,5.777018143570865
Maryland,8.0,17463.0,9754.0,4685.0,110.0,2.0,1479.0,1433.0,18341.0,1891.0,13540.0,328.0,5.0,1366.0,1211.0,36676.0,389612.0,231435.0,624896.0,12854,26955,314314,184184,511054,48.77388001340633,37.265295541239226,32.28918083850385,36.94779116465863,5.869136624334289
Massachusetts,17.0,87449.0,70567.0,10105.0,330.0,31.0,3213.0,3203.0,25965.0,5141.0,17499.0,744.0,16.0,1635.0,930.0,119829.0,942716.0,768613.0,1840357.0,60712,34659,800148,736959,1580114,77.10600102280142,44.913222413691344,63.65876419456649,47.94454777709034,6.511182341252268
Michigan,19.0,51478.0,38526.0,8665.0,287.0,22.0,2113.0,1865.0,25686.0,5114.0,17402.0,748.0,26.0,1472.0,924.0,81360.0,1016794.0,699733.0,1805098.0,49728,69939,871700,739894,1664765,66.71245658597273,40.764462196050516,41.55531600190528,45.910694629044286,4.507234510259277
Minnesota,11.0,30762.0,22386.0,5958.0,109.0,3.0,972.0,1334.0,20733.0,3699.0,14855.0,511.0,22.0,861.0,785.0,57685.0,698811.0,350461.0,1129975.0,32613,52238,600806,363959,1002843,59.73783862510923,33.40039570292546,38.43561065868404,37.72514550175431,5.104980198676961
Mississippi,9.0,848.0,269.0,394.0,1.0,0.0,137.0,47.0,6080.0,88.0,5396.0,8.0,1.0,298.0,289.0,7012.0,157318.0,4443.0,162090.0,1051,9887,140168,5180,146034,12.240184757505773,2.7466447413158916,9.608703602121047,3.56386052783664,4.325991732987846
Missouri,15.0,50022.0,33551.0,11149.0,244.0,45.0,2975.0,2058.0,38267.0,4463.0,30608.0,455.0,15.0,1485.0,1241.0,91354.0,1111043.0,697891.0,1828635.0,39071,70882,1025406,564713,1609894,56.65711470285086,38.58023565259982,35.53427373514138,35.513882923227754,4.995748194691669
Montana,4.0,4490.0,3336.0,828.0,23.0,0.0,139.0,164.0,3562.0,660.0,2517.0,94.0,1.0,151.0,139.0,8352.0,159690.0,63598.0,230512.0,5971,8508,127286,78078,216479,55.7625434674615,28.482497939880336,41.23903584501692,38.01932178960285,3.6232387034080653
Nebraska,7.0,18280.0,12436.0,4241.0,100.0,7.0,685.0,811.0,11770.0,1677.0,9045.0,177.0,2.0,418.0,451.0,31072.0,347445.0,247731.0,608023.0,11405,20952,359082,201177,570137,60.83194675540765,41.623150127021255,35.24739623574497,35.907856901897155,5.110332997271485
Nevada,3.0,1003.0,658.0,272.0,0.0,0.0,36.0,37.0,955.0,163.0,716.0,2.0,0.0,42.0,32.0,2013.0,31925.0,11923.0,43848.0,701,1506,28756,12674,41430,51.22574055158324,27.19166210545521,31.762573629361125,30.591358918657978,4.590859332238643
New Hampshire,4.0,9207.0,7504.0,1072.0,21.0,0.0,253.0,357.0,2737.0,479.0,1984.0,51.0,1.0,114.0,108.0,12402.0,108460.0,104642.0,218114.0,6943,4625,100680,103629,205520,77.08472873409244,49.104184850447204,60.019017980636235,50.7217009529683,5.686017403742997
New Jersey,16.0,58677.0,45361.0,8625.0,251.0,17.0,2383.0,2040.0,27631.0,5495.0,18642.0,1032.0,14.0,1548.0,900.0,89854.0,1083850.0,720322.0,1820437.0,69828,58101,806394,775406,1629507,67.98558650414793,39.92535079803921,54.58340173064747,49.0204829940574,4.93584782115503
New Mexico,3.0,1625.0,1003.0,444.0,7.0,1.0,80.0,90.0,1662.0,212.0,1290.0,24.0,0.0,70.0,66.0,3363.0,106037.0,61727.0,169176.0,1270,1934,95089,54217,151606,49.437176756921204,36.79394864214015,39.63795255930088,36.3126733018097,1.9878706199460916
New York,47.0,162260.0,114574.0,33052.0,805.0,45.0,7125.0,6659.0,139277.0,18241.0,99938.0,4101.0,141.0,10604.0,6252.0,323635.0,3293222.0,2180670.0,5596398.0,164453,172765,2534959,1937963,4688614,53.81097510421606,39.837651163011614,48.76756282286237,43.326554766660365,5.7829160828089785
North Carolina,13.0,6113.0,3532.0,1656.0,33.0,5.0,580.0,307.0,16324.0,820.0,13778.0,119.0,6.0,946.0,655.0,22593.0,616141.0,223283.0,839464.0,9963,28153,497566,208344,711501,27.24517537995276,26.599549214699604,26.138629446951413,29.514244025442338,2.6913602012712876
North Dakota,4.0,4250.0,2787.0,1157.0,15.0,1.0,108.0,182.0,3666.0,694.0,2679.0,30.0,2.0,97.0,164.0,9114.0,163148.0,72751.0,273716.0,4878,8762,178350,71772,256290,53.68873168266801,30.839893344185437,35.7624633431085,28.69479693909372,3.3297286238290784
Ohio,26.0,77896.0,58232.0,13391.0,420.0,66.0,2747.0,3040.0,50778.0,9465.0,35864.0,1315.0,38.0,2454.0,1642.0,138081.0,1747140.0,1127855.0,3012589.0,81512,109943,1301695,1227319,2609728,60.53748231966054,39.22980735618671,42.57501762816327,48.529545506667816,4.58346624780214
Oklahoma,11.0,14442.0,8393.0,4260.0,29.0,3.0,1050.0,707.0,15075.0,1289.0,12389.0,53.0,2.0,687.0,655.0,29971.0,501069.0,245122.0,749740.0,10692,22848,516468,188165,704633,48.92773655859335,32.84976634668604,31.8783542039356,26.7039721386878,3.997519139968522
Oregon,5.0,11747.0,8593.0,2014.0,72.0,6.0,521.0,541.0,10951.0,1966.0,7666.0,298.0,7.0,567.0,447.0,23664.0,266733.0,122706.0,414021.0,8551,15433,213871,136019,368808,51.75345845448939,31.508400545399923,35.65293529019346,38.87478921946897,5.7156521046033895
Pennsylvania,36.0,119086.0,86433.0,20097.0,543.0,115.0,6461.0,5437.0,81114.0,14502.0,56082.0,1340.0,55.0,5733.0,3402.0,209828.0,2353987.0,1690200.0,4138426.0,93057,124675,1295948,1453540,2859177,59.48351648351648,41.793319646198356,42.739239064538054,52.86584265870591,5.070236848502304
Rhode Island,4.0,10401.0,8165.0,1269.0,32.0,5.0,511.0,419.0,3489.0,600.0,2470.0,90.0,0.0,208.0,121.0,14818.0,165238.0,125031.0,311178.0,8856,7046,146604,115266,266170,74.88120950323975,43.07418291309096,55.69110803672495,44.01649673502119,4.761904761904762
South Carolina,8.0,1247.0,216.0,658.0,2.0,0.0,300.0,71.0,7105.0,101.0,5943.0,6.0,6.0,701.0,348.0,8426.0,113791.0,1646.0,115437.0,1601,15657,102347,1978,104407,14.930555555555555,1.425885981097915,9.276857109746205,1.8959980829139707,7.2992194876859235
South Dakota,4.0,8483.0,5712.0,2096.0,42.0,14.0,248.0,371.0,4507.0,859.0,3314.0,46.0,5.0,125.0,158.0,13858.0,160137.0,125977.0,296472.0,5910,9131,183515,99212,288438,65.30408006158584,44.03035153819806,39.292600226048805,35.091094943178405,4.674303138239024
Tennessee,11.0,9883.0,5785.0,2354.0,29.0,31.0,1178.0,506.0,19829.0,1419.0,15510.0,128.0,33.0,1938.0,801.0,29978.0,328083.0,146520.0,476538.0,11352,26635,259473,126752,390256,33.26265481960151,30.8721183810469,29.883907652618003,32.81817593371739,6.29078898220079
Texas,23.0,15341.0,6302.0,6774.0,43.0,3.0,1559.0,660.0,37501.0,1860.0,31262.0,149.0,5.0,2668.0,1557.0,53746.0,734485.0,103874.0,843482.0,15317,74511,760348,97959,863426,29.031830740698688,12.390157438519775,17.051476154428464,11.413049177042712,6.3719202069516605
Utah,4.0,4067.0,2906.0,851.0,21.0,1.0,155.0,133.0,5318.0,954.0,3935.0,69.0,8.0,189.0,163.0,9578.0,150246.0,64555.0,216677.0,4744,8274,116750,84795,206578,43.33510921683538,30.053398261646823,36.44184974650484,42.072490014636934,4.420404565320731
Vermont,3.0,7241.0,5829.0,822.0,20.0,2.0,239.0,329.0,2458.0,498.0,1756.0,37.0,0.0,84.0,83.0,9936.0,62124.0,81023.0,143689.0,4945,3301,56266,78984,136980,74.65718115269615,56.60125605147156,59.968469560999274,58.398521256931616,6.91493433735359
Virginia,11.0,10223.0,5696.0,2848.0,57.0,18.0,1194.0,410.0,16783.0,1121.0,13346.0,141.0,14.0,1517.0,644.0,27268.0,234980.0,98336.0,334590.0,13440,34191,203979,89637,297942,37.854550840553955,29.502334121374314,28.21691755369402,30.5286496648684,8.149675722526077
Washington,8.0,21370.0,14841.0,4800.0,67.0,30.0,806.0,826.0,15300.0,2281.0,11423.0,278.0,53.0,709.0,556.0,37807.0,459579.0,206892.0,692338.0,16717,30324,353260,208645,614814,58.27652031633488,31.042911094406207,35.53708467081908,37.13172155435527,5.460772050645782
West Virginia,8.0,13660.0,10060.0,2589.0,30.0,15.0,424.0,542.0,10235.0,1278.0,8229.0,52.0,11.0,305.0,360.0,24210.0,502582.0,325358.0,829945.0,14365,23153,405124,330731,743774,57.166771291065075,39.2972920743049,38.288288288288285,44.94513185342221,2.917060769087108
Wisconsin,12.0,33796.0,22587.0,8495.0,157.0,12.0,1142.0,1403.0,20781.0,3144.0,15578.0,582.0,4.0,799.0,674.0,59178.0,802984.0,380828.0,1258560.0,21375,44054,707410,347741,1114808,61.92352089708118,32.16963504340216,32.66899998471626,32.956515228626046,4.702040427154844
Wyoming,3.0,2526.0,1830.0,510.0,15.0,1.0,83.0,87.0,1533.0,242.0,1144.0,27.0,1.0,63.0,56.0,4152.0,62624.0,38739.0,103382.0,2201,2913,54370,39583,96962,62.23207686622321,38.2180874678137,43.03871724677356,42.1306397879791,4.016173028186725
